timestamp_ns,mac_address,distance
2671688000,48e72903b3fc,6.01
2671688000,83a8d3e15c4,2.65
2671688000,e05a1b1fafc4,4.93
2875785000,48e72903b3fc,6.01
2875785000,83a8d3e15c4,2.68
2875785000,e05a1b1fafc4,4.90
3076589000,48e72903b3fc,6.03
3076589000,83a8d3e15c4,2.68
3076589000,e05a1b1fafc4,4.92
3276661000,48e72903b3fc,6.02
3276661000,83a8d3e15c4,2.65
3276661000,e05a1b1fafc4,4.93
3480814000,48e72903b3fc,6.02
3480814000,83a8d3e15c4,2.67
3480814000,e05a1b1fafc4,4.95
3681825000,48e72903b3fc,6.02
3681825000,83a8d3e15c4,2.67
3681825000,e05a1b1fafc4,4.91
3881743000,48e72903b3fc,6.01
3881743000,83a8d3e15c4,2.68
3881743000,e05a1b1fafc4,4.89
4084591000,48e72903b3fc,6.04
4084591000,83a8d3e15c4,2.68
4084591000,e05a1b1fafc4,4.92
4284659000,48e72903b3fc,6.03
4284659000,83a8d3e15c4,2.68
4284659000,e05a1b1fafc4,4.94
4486726000,48e72903b3fc,6.01
4486726000,83a8d3e15c4,2.64
4486726000,e05a1b1fafc4,4.94
4688680000,48e72903b3fc,6.01
4688680000,83a8d3e15c4,2.72
4688680000,e05a1b1fafc4,4.91
4891637000,48e72903b3fc,6.03
4891637000,83a8d3e15c4,2.64
4891637000,e05a1b1fafc4,4.91
5091621000,48e72903b3fc,6.02
5091621000,83a8d3e15c4,2.66
5091621000,e05a1b1fafc4,4.94
5291717000,48e72903b3fc,6.03
5291717000,83a8d3e15c4,2.64
5291717000,e05a1b1fafc4,4.91
5495764000,48e72903b3fc,6.01
5495764000,83a8d3e15c4,2.69
5495764000,e05a1b1fafc4,4.89
5696641000,48e72903b3fc,6.02
5696641000,83a8d3e15c4,2.63
5696641000,e05a1b1fafc4,4.92
5896681000,48e72903b3fc,6.03
5896681000,83a8d3e15c4,2.66
5896681000,e05a1b1fafc4,4.92
6097749000,48e72903b3fc,6.02
6097749000,83a8d3e15c4,2.68
6097749000,e05a1b1fafc4,4.95
6297615000,48e72903b3fc,6.04
6297615000,83a8d3e15c4,2.65
6297615000,e05a1b1fafc4,4.94
6497625000,48e72903b3fc,6.03
6497625000,83a8d3e15c4,2.67
6497625000,e05a1b1fafc4,4.96
6697804000,48e72903b3fc,6.02
6697804000,83a8d3e15c4,2.70
6697804000,e05a1b1fafc4,4.94
6897653000,48e72903b3fc,6.02
6897653000,83a8d3e15c4,2.69
6897653000,e05a1b1fafc4,4.98
7097637000,48e72903b3fc,6.02
7097637000,83a8d3e15c4,2.72
7097637000,e05a1b1fafc4,4.91
7298686000,48e72903b3fc,6.03
7298686000,83a8d3e15c4,2.67
7298686000,e05a1b1fafc4,4.96
7498775000,48e72903b3fc,6.03
7498775000,83a8d3e15c4,2.69
7498775000,e05a1b1fafc4,4.95
7698679000,48e72903b3fc,6.03
7698679000,83a8d3e15c4,2.69
7698679000,e05a1b1fafc4,4.95
7898798000,48e72903b3fc,6.03
7898798000,83a8d3e15c4,2.66
7898798000,e05a1b1fafc4,4.90
8098740000,48e72903b3fc,6.01
8098740000,83a8d3e15c4,2.60
8098740000,e05a1b1fafc4,4.89
8298779000,48e72903b3fc,6.01
8298779000,83a8d3e15c4,2.70
8298779000,e05a1b1fafc4,4.90
8498723000,48e72903b3fc,5.97
8498723000,83a8d3e15c4,2.69
8498723000,e05a1b1fafc4,4.93
8698779000,48e72903b3fc,6.00
8698779000,83a8d3e15c4,2.65
8698779000,e05a1b1fafc4,4.91
8898779000,48e72903b3fc,6.00
8898779000,83a8d3e15c4,2.64
8898779000,e05a1b1fafc4,4.96
9098674000,48e72903b3fc,6.04
9098674000,83a8d3e15c4,2.64
9098674000,e05a1b1fafc4,4.93
9298708000,48e72903b3fc,6.09
9298708000,83a8d3e15c4,2.62
9298708000,e05a1b1fafc4,4.92
9498751000,48e72903b3fc,6.09
9498751000,83a8d3e15c4,2.71
9498751000,e05a1b1fafc4,4.95
9698795000,48e72903b3fc,6.09
9698795000,83a8d3e15c4,2.72
9698795000,e05a1b1fafc4,4.96
9898669000,48e72903b3fc,6.05
9898669000,83a8d3e15c4,2.76
9898669000,e05a1b1fafc4,4.90
10098731000,48e72903b3fc,5.97
10098731000,83a8d3e15c4,2.75
10098731000,e05a1b1fafc4,4.96
10298688000,48e72903b3fc,6.00
10298688000,83a8d3e15c4,2.73
10298688000,e05a1b1fafc4,4.97
13877174000,83a8d3e15c4,2.73
13877174000,48e72903b3fc,6.01
14927112000,48e72903b3fc,6.03
14927112000,83a8d3e15c4,2.76
15122170000,48e72903b3fc,6.03
15122170000,83a8d3e15c4,2.80
15316264000,48e72903b3fc,5.98
15316264000,83a8d3e15c4,2.80
15509194000,48e72903b3fc,5.97
15509194000,83a8d3e15c4,2.78
15702223000,48e72903b3fc,5.98
15702223000,83a8d3e15c4,2.83
15895152000,48e72903b3fc,5.99
15895152000,83a8d3e15c4,2.63
16090191000,48e72903b3fc,5.97
16090191000,83a8d3e15c4,2.84
16284224000,48e72903b3fc,6.02
16284224000,83a8d3e15c4,2.84
16477224000,48e72903b3fc,5.98
16477224000,83a8d3e15c4,2.87
16671196000,48e72903b3fc,5.99
16671196000,83a8d3e15c4,2.83
