timestamp_ns,qw,qx,qy,qz,ax,ay,az
2734843000,0.999939,0.006042,0.011597,0.000000,-0.003906,0.003906,-0.027344
2744399000,0.999939,0.006042,0.011597,-0.000061,-0.003906,-0.031250,-0.027344
2762375000,0.999939,0.006042,0.011597,-0.000061,-0.003906,-0.031250,-0.027344
2774659000,0.999939,0.006042,0.011658,-0.000061,-0.003906,-0.031250,-0.019531
2787600000,0.999939,0.006042,0.011658,-0.000061,-0.003906,-0.031250,-0.019531
2795052000,0.999939,0.006042,0.011658,-0.000061,-0.003906,-0.023438,-0.058594
2810905000,0.999939,0.006042,0.011658,-0.000061,-0.003906,-0.023438,-0.019531
2825068000,0.999939,0.006104,0.011658,-0.000061,0.035156,-0.023438,0.019531
2838133000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.023438,-0.050781
2844286000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.023438,-0.011719
2855839000,0.999939,0.006104,0.011658,-0.000061,-0.003906,-0.023438,-0.050781
2874258000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.023438,-0.011719
2891782000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.023438,-0.011719
2904354000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.019531,-0.011719
2914619000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.015625,-0.042969
2934508000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.000000,0.003906
2944111000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.035156,0.003906
2964065000,0.999939,0.006165,0.011658,-0.000122,-0.003906,0.000000,0.003906
2984254000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.000000,0.042969
3009207000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.000000,-0.035156
3023841000,0.999939,0.006165,0.011658,-0.000122,-0.003906,0.000000,0.003906
3044641000,0.999939,0.006165,0.011658,-0.000122,-0.003906,0.000000,0.003906
3067816000,0.999939,0.006165,0.011658,-0.000122,-0.003906,0.000000,0.003906
3084490000,0.999939,0.006104,0.011658,-0.000122,-0.003906,0.000000,0.003906
3103717000,0.999939,0.006104,0.011658,-0.000122,-0.003906,-0.007812,0.042969
3134058000,0.999939,0.006104,0.011658,-0.000061,0.035156,-0.007812,0.003906
3150317000,0.999939,0.006104,0.011658,-0.000061,-0.003906,-0.007812,0.042969
3163707000,0.999939,0.006104,0.011658,-0.000061,-0.003906,-0.007812,0.003906
3183569000,0.999939,0.006104,0.011658,-0.000061,-0.003906,0.000000,0.003906
3205780000,0.999939,0.006104,0.011719,-0.000061,-0.003906,0.000000,0.003906
3229933000,0.999939,0.006165,0.011719,-0.000061,-0.003906,0.000000,0.003906
3243436000,0.999939,0.006104,0.011719,-0.000061,-0.003906,0.000000,0.003906
3265343000,0.999939,0.006104,0.011658,-0.000061,-0.003906,0.000000,0.003906
3293330000,0.999939,0.006104,0.011658,-0.000061,-0.003906,0.035156,0.003906
3303094000,0.999939,0.006104,0.011719,-0.000061,-0.003906,0.035156,-0.035156
3329973000,0.999939,0.006042,0.011658,-0.000122,-0.003906,0.000000,0.003906
3343611000,0.999939,0.006042,0.011658,-0.000122,-0.003906,0.000000,0.003906
3362764000,0.999939,0.006042,0.011658,-0.000122,-0.042969,0.027344,0.003906
3383560000,0.999939,0.006042,0.011658,-0.000122,-0.003906,0.027344,0.003906
3402694000,0.999939,0.006042,0.011658,-0.000122,-0.003906,-0.007812,0.003906
3424606000,0.999939,0.006042,0.011658,-0.000122,-0.003906,-0.007812,0.003906
3443247000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.042969
3463008000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3482679000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3513037000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3522527000,0.999939,0.006104,0.011719,-0.000122,-0.042969,-0.007812,0.003906
3543008000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.042969
3563876000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,-0.035156
3588497000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3602080000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3622206000,0.999939,0.006042,0.011719,-0.000122,-0.003906,0.027344,-0.035156
3653041000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3662146000,0.999939,0.006104,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3682456000,0.999939,0.006042,0.011719,-0.000122,-0.003906,0.027344,0.003906
3702253000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.042969
3722026000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.003906
3741945000,0.999939,0.006042,0.011719,-0.000122,-0.003906,-0.007812,0.042969
3771509000,0.999939,0.006042,0.011719,-0.000122,-0.035156,-0.007812,0.003906
3782134000,0.999939,0.006042,0.011719,-0.000122,0.003906,-0.007812,0.003906
3801631000,0.999939,0.006042,0.011719,-0.000122,0.003906,-0.007812,0.042969
