timestamp_ns,mac_address,distance
9260639000,83a8d3e15c4,3.89
9260639000,e05a1b1fafc4,1.56
9260639000,48e72903b3fc,2.88
9460816000,83a8d3e15c4,3.87
9460816000,e05a1b1fafc4,1.57
9460816000,48e72903b3fc,2.88
9660851000,83a8d3e15c4,3.93
9660851000,e05a1b1fafc4,1.55
9660851000,48e72903b3fc,2.88
9861823000,83a8d3e15c4,3.91
9861823000,e05a1b1fafc4,1.56
9861823000,48e72903b3fc,2.90
10062767000,83a8d3e15c4,3.93
10062767000,e05a1b1fafc4,1.55
10062767000,48e72903b3fc,2.87
10263693000,83a8d3e15c4,3.89
10263693000,e05a1b1fafc4,1.57
10263693000,48e72903b3fc,2.87
10464755000,83a8d3e15c4,3.91
10464755000,e05a1b1fafc4,1.56
10464755000,48e72903b3fc,2.90
10664758000,83a8d3e15c4,3.92
10664758000,e05a1b1fafc4,1.57
10664758000,48e72903b3fc,2.90
10864671000,83a8d3e15c4,3.89
10864671000,e05a1b1fafc4,1.55
10864671000,48e72903b3fc,2.88
11064677000,83a8d3e15c4,3.93
11064677000,e05a1b1fafc4,1.56
11064677000,48e72903b3fc,2.89
11264653000,83a8d3e15c4,3.88
11264653000,e05a1b1fafc4,1.57
11264653000,48e72903b3fc,2.90
11464696000,83a8d3e15c4,3.86
11464696000,e05a1b1fafc4,1.52
11464696000,48e72903b3fc,2.88
11664809000,83a8d3e15c4,3.92
11664809000,e05a1b1fafc4,1.55
11664809000,48e72903b3fc,2.87
11865667000,83a8d3e15c4,3.91
11865667000,e05a1b1fafc4,1.53
11865667000,48e72903b3fc,2.93
12065655000,83a8d3e15c4,3.94
12065655000,e05a1b1fafc4,1.57
12065655000,48e72903b3fc,2.88
12265714000,83a8d3e15c4,3.94
12265714000,e05a1b1fafc4,1.56
12265714000,48e72903b3fc,2.93
12465761000,83a8d3e15c4,3.89
12465761000,e05a1b1fafc4,1.54
12465761000,48e72903b3fc,2.92
12665699000,83a8d3e15c4,3.88
12665699000,e05a1b1fafc4,1.56
12665699000,48e72903b3fc,2.91
