timestamp_ns,mac_address,distance
2593703000,83a8d3e15c4,2.72
2593703000,e05a1b1fafc4,4.97
2593703000,48e72903b3fc,6.10
2798620000,83a8d3e15c4,2.67
2798620000,e05a1b1fafc4,4.98
2798620000,48e72903b3fc,6.09
2998617000,83a8d3e15c4,2.70
2998617000,e05a1b1fafc4,4.94
2998617000,48e72903b3fc,6.10
3198659000,83a8d3e15c4,2.68
3198659000,e05a1b1fafc4,4.98
3198659000,48e72903b3fc,6.12
3398604000,83a8d3e15c4,2.70
3398604000,e05a1b1fafc4,4.98
3398604000,48e72903b3fc,6.11
3598616000,83a8d3e15c4,2.69
3598616000,e05a1b1fafc4,4.98
3598616000,48e72903b3fc,6.11
3798702000,83a8d3e15c4,2.69
3798702000,e05a1b1fafc4,4.97
3798702000,48e72903b3fc,6.12
3998682000,83a8d3e15c4,2.68
3998682000,e05a1b1fafc4,4.98
3998682000,48e72903b3fc,6.10
4198617000,83a8d3e15c4,2.71
4198617000,e05a1b1fafc4,4.98
4198617000,48e72903b3fc,6.10
4398710000,83a8d3e15c4,2.67
4398710000,e05a1b1fafc4,4.94
4398710000,48e72903b3fc,6.12
4602663000,83a8d3e15c4,2.70
4602663000,e05a1b1fafc4,4.98
4602663000,48e72903b3fc,6.12
4802664000,83a8d3e15c4,2.67
4802664000,e05a1b1fafc4,4.99
4802664000,48e72903b3fc,6.11
5002686000,83a8d3e15c4,2.67
5002686000,e05a1b1fafc4,4.98
5002686000,48e72903b3fc,6.11
5202729000,83a8d3e15c4,2.67
5202729000,e05a1b1fafc4,4.97
5202729000,48e72903b3fc,6.10
5402752000,83a8d3e15c4,2.67
5402752000,e05a1b1fafc4,4.98
5402752000,48e72903b3fc,6.10
5602683000,83a8d3e15c4,2.68
5602683000,e05a1b1fafc4,4.98
5602683000,48e72903b3fc,6.11
5802707000,83a8d3e15c4,2.67
5802707000,e05a1b1fafc4,4.98
5802707000,48e72903b3fc,6.14
6002598000,83a8d3e15c4,2.72
6002598000,e05a1b1fafc4,4.96
6002598000,48e72903b3fc,6.11
6202622000,83a8d3e15c4,2.69
6202622000,e05a1b1fafc4,4.96
6202622000,48e72903b3fc,6.09
6402618000,83a8d3e15c4,2.68
6402618000,e05a1b1fafc4,4.96
6402618000,48e72903b3fc,6.13
6602675000,83a8d3e15c4,2.70
