timestamp_ns,qw,qx,qy,qz,ax,ay,az
2531321000,0.999390,-0.010010,0.033386,-0.000366,-0.003906,0.003906,-0.011719
2541206000,0.999390,-0.010010,0.033386,-0.000366,-0.035156,0.003906,0.027344
2561408000,0.999390,-0.010010,0.033386,-0.000366,0.003906,0.003906,0.027344
2571418000,0.999390,-0.010010,0.033386,-0.000366,-0.035156,0.003906,0.027344
2581212000,0.999390,-0.010010,0.033386,-0.000366,-0.035156,0.003906,0.027344
2594009000,0.999390,-0.010010,0.033386,-0.000305,-0.035156,-0.035156,0.027344
2600715000,0.999390,-0.010010,0.033386,-0.000305,0.003906,0.003906,0.027344
2610684000,0.999390,-0.010010,0.033386,-0.000366,-0.035156,0.003906,-0.011719
2621465000,0.999390,-0.010010,0.033386,-0.000366,-0.035156,0.003906,-0.011719
2630676000,0.999390,-0.010010,0.033386,-0.000366,0.003906,0.003906,0.027344
2640871000,0.999390,-0.009949,0.033386,-0.000366,-0.027344,0.003906,-0.011719
2651664000,0.999390,-0.009949,0.033447,-0.000366,0.011719,0.003906,-0.011719
2661162000,0.999390,-0.009949,0.033447,-0.000366,-0.027344,0.042969,0.019531
2680998000,0.999390,-0.009949,0.033447,-0.000366,0.011719,0.003906,-0.019531
2701214000,0.999390,-0.009949,0.033447,-0.000366,0.011719,0.003906,0.019531
2720568000,0.999390,-0.009949,0.033447,-0.000366,-0.019531,-0.003906,0.011719
2742374000,0.999390,-0.009949,0.033447,-0.000366,0.019531,-0.003906,0.011719
2767013000,0.999390,-0.009949,0.033447,-0.000366,-0.019531,-0.003906,0.011719
2780087000,0.999390,-0.009949,0.033447,-0.000366,-0.019531,-0.003906,-0.027344
2799938000,0.999390,-0.009949,0.033447,-0.000366,-0.019531,-0.003906,0.011719
2827240000,0.999390,-0.009949,0.033447,-0.000305,0.019531,-0.003906,0.011719
2840715000,0.999390,-0.009949,0.033447,-0.000305,0.019531,-0.003906,0.011719
2862394000,0.999390,-0.009949,0.033447,-0.000305,0.019531,-0.003906,0.011719
2882524000,0.999390,-0.010010,0.033447,-0.000305,0.019531,-0.003906,0.011719
2899765000,0.999390,-0.010010,0.033386,-0.000305,-0.019531,-0.003906,0.011719
