timestamp_ns,time_s,state,gt_pos_x,gt_pos_y,stop_number
4615041000,2.073835,Stop,2.070000,0.700000,1.000000
4635678000,2.094472,Stop,2.070000,0.700000,1.000000
4665104000,2.123898,Stop,2.070000,0.700000,1.000000
4675189000,2.133983,Stop,2.070000,0.700000,1.000000
4695459000,2.154253,Stop,2.070000,0.700000,1.000000
4715959000,2.174753,Stop,2.070000,0.700000,1.000000
4743600000,2.202394,Stop,2.070000,0.700000,1.000000
4754414000,2.213208,Stop,2.070000,0.700000,1.000000
4780125000,2.238919,Stop,2.070000,0.700000,1.000000
4800432000,2.259226,Stop,2.070000,0.700000,1.000000
4814743000,2.273537,Stop,2.070000,0.700000,1.000000
4844395000,2.303189,Stop,2.070000,0.700000,1.000000
4864909000,2.323703,Stop,2.070000,0.700000,1.000000
4881649000,2.340443,Stop,2.070000,0.700000,1.000000
4894880000,2.353674,Stop,2.070000,0.700000,1.000000
4915096000,2.373890,Stop,2.070000,0.700000,1.000000
4944334000,2.403128,Stop,2.070000,0.700000,1.000000
4953688000,2.412482,Stop,2.070000,0.700000,1.000000
4975051000,2.433845,Stop,2.070000,0.700000,1.000000
4995016000,2.453810,Stop,2.070000,0.700000,1.000000
5024221000,2.483015,Stop,2.070000,0.700000,1.000000
5033945000,2.492739,Stop,2.070000,0.700000,1.000000
5064045000,2.522839,Stop,2.070000,0.700000,1.000000
5074333000,2.533127,Stop,2.070000,0.700000,1.000000
5105616000,2.564410,Stop,2.070000,0.700000,1.000000
5127872000,2.586666,Stop,2.070000,0.700000,1.000000
5133809000,2.592603,Stop,2.070000,0.700000,1.000000
5164578000,2.623372,Stop,2.070000,0.700000,1.000000
5183602000,2.642396,Stop,2.070000,0.700000,1.000000
5193302000,2.652096,Stop,2.070000,0.700000,1.000000
5216923000,2.675717,Stop,2.070000,0.700000,1.000000
5234790000,2.693584,Stop,2.070000,0.700000,1.000000
5263614000,2.722408,Stop,2.070000,0.700000,1.000000
5273140000,2.731934,Stop,2.070000,0.700000,1.000000
5294664000,2.753458,Stop,2.070000,0.700000,1.000000
5314652000,2.773446,Stop,2.070000,0.700000,1.000000
