timestamp_ns,qw,qx,qy,qz,ax,ay,az,t_sec,dist_83a8d,dist_e05a1,dist_48e72
72052499000,0.999878,-0.008606,0.013611,0.0,0.011719,0.027344,-0.011719,0.0,,,
72068231000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.015732,2.67,4.98,5.96
72096103000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,0.027344,0.043604,,,
72103292000,0.999878,-0.008606,0.013611,0.0,-0.027344,0.027344,0.027344,0.050793,,,
72132496000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,-0.011719,0.079997,,,
72152761000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,0.027344,0.100262,,,
72177075000,0.999878,-0.008606,0.013611,0.0,-0.027344,0.027344,-0.011719,0.124576,,,
72192146000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.139647,,,
72211956000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.159457,,,
72235508000,0.999878,-0.008606,0.013611,0.0,0.011719,0.027344,-0.011719,0.183009,,,
72256979000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.20448,,,
72272318000,0.999878,-0.008606,0.013611,0.0,-0.019531,-0.011719,-0.011719,0.219819,2.71,4.92,5.92
72292084000,0.999878,-0.008606,0.013611,0.0,0.019531,0.027344,0.027344,0.239585,,,
72314254000,0.999878,-0.008606,0.013611,0.0,-0.019531,-0.011719,-0.011719,0.261755,,,
72332260000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.279761,,,
72351658000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,0.027344,0.299159,,,
72372210000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,0.027344,0.319711,,,
72395536000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,-0.011719,0.343037,,,
72412339000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.003906,-0.011719,0.35984,,,
72438359000,0.999878,-0.008606,0.013611,0.0,0.011719,0.035156,-0.019531,0.38586,,,
72452259000,0.999878,-0.008606,0.013611,0.0,0.011719,0.035156,0.019531,0.39976,,,
72471477000,0.999878,-0.008606,0.013611,0.0,0.011719,0.035156,-0.019531,0.418978,2.65,4.97,5.91
72492935000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,-0.019531,0.440436,,,
72511523000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.003906,-0.019531,0.459024,,,
72531315000,0.999878,-0.008606,0.013611,0.0,0.011719,0.027344,-0.019531,0.478816,,,
72557924000,0.999878,-0.008606,0.013611,0.0,0.011719,0.027344,-0.011719,0.505425,,,
72571546000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,0.027344,0.519047,,,
72591946000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,-0.011719,0.539447,,,
72613146000,0.999878,-0.008606,0.013611,0.0,0.011719,0.027344,0.027344,0.560647,,,
72637411000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,-0.011719,0.584912,,,
72650843000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,0.027344,0.598344,,,
72671277000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.011719,-0.011719,0.618778,2.66,4.96,5.9
72691393000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,-0.011719,0.638894,,,
72713967000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.011719,0.027344,0.661468,,,
72730599000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.003906,-0.011719,0.6781,,,
72752453000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,0.027344,0.699954,,,
72771129000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,-0.011719,0.71863,,,
72796268000,0.999878,-0.008606,0.013611,0.0,0.011719,0.035156,-0.011719,0.743769,,,
72810418000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,0.027344,0.757919,,,
72830339000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,-0.011719,0.77784,,,
72851177000,0.999878,-0.008606,0.013611,0.0,-0.027344,-0.003906,-0.011719,0.798678,,,
72875095000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,-0.011719,0.822596,2.7,4.98,5.97
72890457000,0.999878,-0.008606,0.013611,0.0,0.011719,-0.003906,-0.011719,0.837958,,,
