timestamp_ns,mac_address,distance
72062703000,83a8d3e15c4,2.67
72062703000,e05a1b1fafc4,4.98
72062703000,48e72903b3fc,5.96
72262646000,83a8d3e15c4,2.71
72262646000,e05a1b1fafc4,4.92
72262646000,48e72903b3fc,5.92
72462749000,83a8d3e15c4,2.65
72462749000,e05a1b1fafc4,4.97
72462749000,48e72903b3fc,5.91
72662716000,83a8d3e15c4,2.66
72662716000,e05a1b1fafc4,4.96
72662716000,48e72903b3fc,5.90
72862645000,83a8d3e15c4,2.70
72862645000,e05a1b1fafc4,4.98
72862645000,48e72903b3fc,5.97
73062593000,83a8d3e15c4,2.71
73062593000,e05a1b1fafc4,4.97
73062593000,48e72903b3fc,5.97
73262632000,83a8d3e15c4,2.72
73262632000,e05a1b1fafc4,4.98
73262632000,48e72903b3fc,5.97
73462704000,83a8d3e15c4,2.67
73462704000,e05a1b1fafc4,4.92
73462704000,48e72903b3fc,5.97
73666774000,83a8d3e15c4,2.72
73666774000,e05a1b1fafc4,4.98
73666774000,48e72903b3fc,6.00
73866816000,83a8d3e15c4,2.68
73866816000,e05a1b1fafc4,4.98
73866816000,48e72903b3fc,6.01
74068745000,83a8d3e15c4,2.71
74068745000,e05a1b1fafc4,5.00
74068745000,48e72903b3fc,5.99
75948185000,e05a1b1fafc4,5.05
75948185000,48e72903b3fc,6.04
77850564000,83a8d3e15c4,2.71
77850564000,48e72903b3fc,6.03
77850564000,e05a1b1fafc4,4.95
78051055000,83a8d3e15c4,2.70
78051055000,48e72903b3fc,6.05
78051055000,e05a1b1fafc4,4.95
78253636000,83a8d3e15c4,2.67
78253636000,48e72903b3fc,6.05
78253636000,e05a1b1fafc4,4.95
78453654000,83a8d3e15c4,2.71
78453654000,48e72903b3fc,6.05
78453654000,e05a1b1fafc4,4.94
78653609000,83a8d3e15c4,2.68
78653609000,48e72903b3fc,6.02
78653609000,e05a1b1fafc4,4.96
78853614000,83a8d3e15c4,2.67
78853614000,48e72903b3fc,6.03
78853614000,e05a1b1fafc4,5.04
79053735000,83a8d3e15c4,2.69
79053735000,48e72903b3fc,6.05
79053735000,e05a1b1fafc4,4.97
79253770000,83a8d3e15c4,2.70
79253770000,48e72903b3fc,6.05
79253770000,e05a1b1fafc4,4.97
79454740000,83a8d3e15c4,2.70
79454740000,48e72903b3fc,6.03
79454740000,e05a1b1fafc4,4.95
79654635000,83a8d3e15c4,2.70
79654635000,48e72903b3fc,6.04
79654635000,e05a1b1fafc4,4.97
79854679000,83a8d3e15c4,2.69
79854679000,48e72903b3fc,6.03
79854679000,e05a1b1fafc4,4.94
80054705000,83a8d3e15c4,2.70
80054705000,48e72903b3fc,6.04
80054705000,e05a1b1fafc4,4.98
80254746000,83a8d3e15c4,2.68
80254746000,48e72903b3fc,6.04
80254746000,e05a1b1fafc4,4.96
80454697000,83a8d3e15c4,2.67
80454697000,48e72903b3fc,6.06
80454697000,e05a1b1fafc4,4.99
80654632000,83a8d3e15c4,2.64
80654632000,48e72903b3fc,6.02
80654632000,e05a1b1fafc4,4.96
80854792000,83a8d3e15c4,2.68
80854792000,48e72903b3fc,6.02
80854792000,e05a1b1fafc4,4.94
81055607000,83a8d3e15c4,2.63
81055607000,48e72903b3fc,6.03
81055607000,e05a1b1fafc4,4.94
81255711000,83a8d3e15c4,2.69
81255711000,48e72903b3fc,6.03
81255711000,e05a1b1fafc4,4.97
81459756000,83a8d3e15c4,2.67
81459756000,48e72903b3fc,6.02
81459756000,e05a1b1fafc4,4.96
81659718000,83a8d3e15c4,2.67
81659718000,48e72903b3fc,6.03
81659718000,e05a1b1fafc4,4.97
81861772000,83a8d3e15c4,2.73
81861772000,48e72903b3fc,6.05
81861772000,e05a1b1fafc4,4.98
82061663000,83a8d3e15c4,2.67
82061663000,48e72903b3fc,6.02
82061663000,e05a1b1fafc4,4.96
82261687000,83a8d3e15c4,2.68
82261687000,48e72903b3fc,6.03
82261687000,e05a1b1fafc4,4.98
82462678000,83a8d3e15c4,2.69
82462678000,48e72903b3fc,6.04
