timestamp_ns,qw,qx,qy,qz,ax,ay,az,t_sec,dist_e05a1,dist_83a8d,dist_48e72
2393882000,0.999146,-0.007996,0.041199,-0.000305,0.0,0.011719,-0.035156,0.08519,4.4,2.4,5.14
2403274000,0.999146,-0.007996,0.041199,-0.000366,0.0,0.011719,0.011719,0.094582,,,
2413642000,0.999146,-0.007996,0.04126,-0.000366,-0.039062,-0.027344,0.011719,0.10495,,,
2433862000,0.999146,-0.007935,0.04126,-0.000366,0.0,0.011719,0.011719,0.12517,,,
2443265000,0.999146,-0.007935,0.04126,-0.000366,0.0,0.011719,-0.027344,0.134573,,,
2455590000,0.999146,-0.007935,0.04126,-0.000366,0.0,0.011719,-0.027344,0.146898,,,
2463423000,0.999146,-0.007935,0.04126,-0.000366,0.0,-0.027344,0.011719,0.154731,,,
2480871000,0.999146,-0.007935,0.04126,-0.000366,0.0,0.011719,-0.027344,0.172179,,,
2493234000,0.999146,-0.007874,0.04126,-0.000366,0.0,-0.027344,-0.027344,0.184542,,,
2509750000,0.999146,-0.007874,0.041321,-0.000366,-0.039062,0.011719,-0.027344,0.201058,,,
2523508000,0.999146,-0.007935,0.041321,-0.000366,-0.03125,-0.027344,0.011719,0.214816,4.39,2.43,5.13
2538170000,0.999146,-0.007874,0.041321,-0.000427,0.007812,0.019531,0.011719,0.229478,,,
2552901000,0.999146,-0.007874,0.041321,-0.000427,-0.03125,0.019531,0.011719,0.244209,,,
2563277000,0.999146,-0.007935,0.041321,-0.000427,-0.03125,0.019531,0.011719,0.254585,,,
2583510000,0.999146,-0.007935,0.041321,-0.000427,0.007812,-0.019531,0.011719,0.274818,,,
2593046000,0.999146,-0.007935,0.041321,-0.000427,0.015625,-0.011719,0.019531,0.284354,,,
2613194000,0.999146,-0.007996,0.04126,-0.000427,0.015625,-0.011719,0.019531,0.304502,,,
2623993000,0.999146,-0.007935,0.041321,-0.000427,-0.023438,-0.011719,0.019531,0.315301,,,
2643234000,0.999146,-0.007935,0.041321,-0.000427,-0.023438,0.027344,-0.019531,0.334542,,,
2663179000,0.999084,-0.007996,0.041321,-0.000427,0.015625,0.027344,-0.019531,0.354487,,,
2687157000,0.999084,-0.007935,0.041321,-0.000427,-0.023438,-0.011719,-0.019531,0.378465,,,
2703051000,0.999084,-0.007935,0.041321,-0.000427,0.015625,-0.011719,0.019531,0.394359,,,
2724980000,0.999146,-0.007935,0.041321,-0.000427,0.015625,0.027344,0.019531,0.416288,4.38,2.37,5.15
2747108000,0.999146,-0.007935,0.04126,-0.000427,0.015625,0.027344,0.019531,0.438416,,,
2762288000,0.999146,-0.007935,0.04126,-0.000427,0.015625,0.027344,-0.019531,0.453596,,,
2783385000,0.999146,-0.007996,0.04126,-0.000427,0.015625,0.027344,-0.019531,0.474693,,,
2809237000,0.999146,-0.007996,0.041199,-0.000427,0.015625,-0.011719,-0.019531,0.500545,,,
2822301000,0.999146,-0.007996,0.04126,-0.000427,-0.023438,-0.011719,-0.019531,0.513609,,,
2844288000,0.999146,-0.007996,0.04126,-0.000488,0.015625,0.027344,0.019531,0.535596,,,
2862738000,0.999146,-0.007996,0.04126,-0.000488,0.015625,0.027344,-0.019531,0.554046,,,
